index;file_name;url;report_type_specific;report_type_annual;report_type_sustainability;comment;direct_downloadlink
16;aurelius_2018_report;https://www.aeo-se.de/site/assets/files/4147/annual_report_for_2018_guarantor.pdf;Annual Report;Annual Report;;;
17;autoneum holding_2019_report;https://www.autoneum.com/wp-content/uploads/2020/06/Autoneum_CR_Report_2019-1.pdf;Corporate Responsibility Report;;Sustainability Report;;
18;balanced commercial property trust_2020_report;https://www.bmogam.com/uploads/2021/07/24993eda0dcdf930a295db357730500f/bmo-commercial-property-trust-esg-report-2020.pdf;ESG Report;;Sustainability Report;;
19;banco bpm_2019_report;https://gruppo.bancobpm.it/media/dlm_uploads/Consolidated-2019-Annual-Report-tipografia-per-sito.pdf;Annual Report;Annual Report;;;
20;beach energy ltd_2020_report;https://beachenergy.com.au/wp-content/uploads/2020/10/BeachSustainabilityReport2020.pdf;Sustainability Report;;Sustainability Report;;
21;bekaert (d) sa_2022_report;https://www.annualreports.com/HostedData/AnnualReportArchive/b/bekaert-SA_2022.pdf;Integrated Annual Report;Annual Report;;;
22;belimo_2018_report;https://www.belimo.com/mam/corporate-communications/investor-relations/financial-reports/2018/Sustainability_Report_2018.pdf;Sustainability Report;;Sustainability Report;;
23;bioarctic_2018_report;https://www.bioarctic.com/en/wp-content/uploads/sites/2/2022/08/bioarctic-ab-annual-report-2018-c.pdf;Annual Report;Annual Report;;;
24;blackberry ltd_2022_report;https://www.responsibilityreports.com/Company/BlackBerry-Ltd;ESG Report;;Sustainability Report;download currently blocked;
25;blackline inc_2021_report;https://www.blacklinesafety.com/hubfs/Website/ESG/Blackline Safety_ 2021 ESG Report.pdf?hsLang=en;ESG Report;;Sustainability Report;;
26;bloom energy_2019_report;https://d18rn0p25nwr6d.cloudfront.net/CIK-0001664703/c72fe14d-0fd8-4279-bb4a-ba633c4d2df9.pdf;Annual Report;Annual Report;;;
27;boot barn holdings_2019_report;https://www.annualreports.com/HostedData/AnnualReportArchive/b/NYSE_BOOT_2019.pdf;Annual Report;Annual Report;;;
28;boss energy ltd_2019_report;https://annualreport-2019.hugoboss.com/servicepages/downloads/files/entire_hb_ar19.pdf;Annual Report;Annual Report;;;
29;britvic plc_2022_report;https://www.britvic.com/media/m10pt1wp/britvic-basis-of-reporting-2022.pdf;Sustainability Report;;Sustainability Report;;
30;ca immobilien anlagen ag_2018_report;https://www.caimmo.com/fileadmin/documents/Finanzberichte/2018/Annual_Report_2018.pdf;Annual Report;Annual Report;;;
31;cabot corp_2018_report;https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/c/NYSE_CBT_2018.pdf;Sustainability Report;;Sustainability Report;;
32;cardinal energy ltd_2021_report;https://cardinalenergy.ca/wp-content/uploads/2022/03/22-03-14-2021-Cardinal-ESG-Report-5Q-FINAL-2-1.pdf;ESG Report;;Sustainability Report;;
33;century communities inc_2019_report;https://s24.q4cdn.com/287068338/files/doc_downloads/2020/04/CenturyLink-2019-ESG-Report.pdf;ESG Report;;Sustainability Report;;
34;chase corp_2020_report;https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/documents/jpmc-esg-report-2020.pdf;ESG Report;;Sustainability Report;;
35;chord energy corp_2020_report;https://www.chordenergy.com/wp-content/uploads/2022/06/Whiting-2020-Sustainability-Report.pdf;Sustainability Report;;Sustainability Report;;
36;city holding_2020_report;https://www.ctbcholding.com/content/dam/twhoo/file/csr/en/report/2020CSR.pdf;Sustainability Report;;Sustainability Report;;
37;clas ohlson_2021_report;https://about.clasohlson.com/contentassets/7a95581c442e42ce81d41074818595d0/wkr0006.pdf;Annual and Sustainability Report;Annual Report;Sustainability Report;;
38;comerica inc_2019_report;https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/c/NYSE_CMA_2019.pdf;Corporate Responsibility Report;;Sustainability Report;;
39;coty inc_2018_report;https://s23.q4cdn.com/980953510/files/doc_financials/annual/Coty-2018-Annual-Report.pdf;Annual Report;Annual Report;;;
40;cubesmart reit_2019_report;https://s201.q4cdn.com/604002580/files/doc_news/CubeSmart-Reports-2019-Annual-Results-02-20-2020-2020.pdf;Annual Report;Annual Report;;;
41;cubesmart reit_2021_report;https://s201.q4cdn.com/604002580/files/doc_downloads/esg/2021-CubeSmart-Sustainability-Report-Final.pdf;Sustainability Report;;Sustainability Report;;
42;customers bancorp inc_2020_report;https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/c/NYSE_CUBI_2020.pdf;ESG Report;;Sustainability Report;;
43;cytokinetics inc_2022_report;https://cytokinetics.com/wp-content/uploads/2023/03/corporate-responsibility-report-2022.pdf;Responsibility Report;;Sustainability Report;;
44;Daimler_2020_report;https://group.mercedes-benz.com/documents/sustainability/reports/daimler-sustainability-report-2020.pdf;Sustainability Report;;Sustainability Report;;
45;dalata hotel group_2019_report;https://dalatahotelgroup.com/wp-content/uploads/2023/09/2019-Annual-Report-and-Accounts.pdf;Annual Report;Annual Report;;;
46;dampskibsselskabet norden_2019_report;https://cms.norden.com/files/2020-10/Annual_report_2019.pdf;Annual Report;Annual Report;;;
47;deutz ag_2020_report;https://www.annualreports.com/HostedData/AnnualReportArchive/d/deutz_2020.pdf;Annual Report;Annual Report;;;
48;diamondrock hospitality reit_2022_report;https://stocklight.com/stocks/us/nyse-drh/diamondrock-hospitality/annual-reports/nyse-drh-2022-10K-22659011.pdf;Annual Report;Annual Report;;;
49;dic corp_2017_report;https://www3.dic-global.com/dic-global/dic_report/dic_report_en_2017_detail.pdf?_gl=1*b61ah1*_ga*MTc5NzQ2NDk1Mi4xNzI2MDQwNjc2*_ga_CRN43SMNFF*MTcyNjA0MDY3Ni4xLjEuMTcyNjA0MDcyNC4xMi4wLjA.*_ga_2Y835HH0EE*MTcyNjA0MDY3Ni4xLjEuMTcyNjA0MDcyNC4xMi4wLjA.*_ga_9ELQPC0MQQ*MTcyNjA0MDY3OC4xLjEuMTcyNjA0MDcyNC4xNC4wLjA.&_ga=2.226285082.1630688170.1726040676-1797464952.1726040676;Integrated Report;Annual Report;;;
50;dksh holding_2021_report;https://www.dksh.com/media/148/216/Sustainability_Report_2021.pdf;Sustainability Report;;Sustainability Report;;
51;entra_2022_report;https://www.entra.no/investor-relations/governance/2023/entra-asa-remuneration-report-2022.pdf/_/attachment/inline/45cf05a5-9232-418e-80e2-6d366996c9f9:5e1750d1cd197d152b4ee5f678e977c085960007/entra-asa-remuneration-report-2022.pdf;Annual Remuneration Report;;;;
52;everi holdings_2019_report;https://www.everi.com/wp-content/uploads/2021/03/2019-Annual-Report.pdf;Annual Report;Annual Report;;;
53;evolution mining ltd_2020_report;https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/E/ASX_CAH_2020.pdf;Sustainability Report;;Sustainability Report;;
54;fabege_2022_report;https://www.fabege.se/siteassets/investerare/arsredovisning/2022/fabege_annual_report_2022_index_v2.pdf;Annual and Sustainability Report;Annual Report;Sustainability Report;;
55;fastly inc_2018_report;https://weledaint-prod.global.ssl.fastly.net/binaries/content/assets/pdf/aus/weleda_annual--sustainability-reportgb_2018_uk_ds.pdf;Annual and Sustainability Report;Annual Report;Sustainability Report;;
56;federal agricultural mortgage non_2022_report;https://stocklight.com/stocks/us/nyse-agm-pf/federal-agricultural-mortgage-corporation/annual-reports/nyse-agm-pf-2022-10K-22689694.pdf;Annual Report;Annual Report;;;
57;federated hermes inc_2021_report;https://www.hermesgpeinfrastructure.com/wp-content/uploads/2022/04/Sustainability-and-Stewardship-Report-2021-Public.pdf;Sustainability Report;;Sustainability Report;;
58;first bancorp_2018_report;https://www.fbnholdings.com/wp-content/uploads/2021/02/fbn-sustainability-report-2018.pdf;Corporate Responsibility & Sustainability Report;;Sustainability Report;;
59;first bancshares inc_2017_report;https://www.fbnholdings.com/wp-content/uploads/2021/02/fbn-sustainability-report-2017.pdf;Corporate Responsibility & Sustainability Report;;Sustainability Report;;
60;freni brembo_2018_report;https://www.brembo.com/en/Reports/2018/DNF-Sustainability-Report 2018.pdf;Sustainability Report;;Sustainability Report;;
61;Fresenius SE_2019_report;https://www.fresenius.com/sites/default/files/2022-01/Fresenius_Annual_Report_2019.pdf;Annual Report;Annual Report;;;
62;fuji soft inc_2022_report;https://www.fujifilm.com/files-holdings/en/sustainability/report/2022/sustainabilityreport2022_en.pdf;Sustainability Report;;Sustainability Report;;
63;georg fischer ag_2018_report;https://www.georgfischer.com/content/dam/commonassets/corp/documents/reports/sustainabilty-reports/2018-sustainability-report/2018-GF-Sustainability-Report_2018.pdf;Sustainability Report;;Sustainability Report;;
64;gopro inc_2017_report;https://www.annualreports.com/HostedData/AnnualReportArchive/g/NASDAQ_GPRO_2017.pdf;Annual Report;Annual Report;;;
65;graincorp_2019_report;https://www.graincorp.com.au/wp-content/uploads/2021/01/SustainabilityReport2019_Web.pdf;Sustainability Report;;Sustainability Report;;
66;granite construction inc_2020_report;https://www.graniteconstruction.com/sites/default/files/inline-files/Granite-2020-Sustainability-Report.pdf;Sustainability Report;;Sustainability Report;;
67;gwa group_2021_report;https://corporate-prod-au.s3.ap-southeast-2.amazonaws.com/GWA Group Sustainability Report 2021 ASX version.pdf;Sustainability Report;;Sustainability Report;;
68;h. lundbeck_2021_report;https://www.lundbeck.com/content/dam/lundbeck-com/masters/global-site/pdf/Sustainability_Report_2021.pdf.coredownload.pdf;Sustainability Report;;Sustainability Report;;
69;hammerson reit_2021_report;https://www.hammerson.com/sites/hammerson-corp/files/hammerson-corp/investors/results-reports/2022/annual-report-2021.pdf;Annual Report;Annual Report;;;
70;hang lung group_2018_report;https://www.hanglung.com/getmedia/7c8143b3-7cc7-4821-b0ff-b8e9d6fc4f5f/hlp-sustainability-report-2018-en.pdf;Sustainability Report;;Sustainability Report;;
71;hays plc_2019_report;https://www.haysplc.com/~/media/Files/H/Hays/annual-reports/ar-2019/annual-report-2019.pdf;Annual Report;Annual Report;;;
72;healius ltd_2022_report;https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/h/ASX_HLS_2022.pdf;Sustainability Report;;Sustainability Report;;
73;hudbay minerals inc_2020_report;https://s23.q4cdn.com/405985100/files/doc_downloads/sustainability/2021/english/Hudbay-2020-Integrated-Report.pdf;Sustainability Report;;Sustainability Report;;
74;hugo boss_2020_report;https://www.annualreports.com/HostedData/AnnualReportArchive/h/hugo-boss_2020.pdf;Annual Report;Annual Report;;;
75;huhtamaki_2018_report;http://hugin.info/3006/R/2242412/884978.pdf;Responsibility Report;;Sustainability Report;;
76;huhtamaki_2019_report;https://www.huhtamaki.com/globalassets/global/sustainability/reports/en/2019/huhtamaki-sustainability-report-2019.pdf;Sustainability Report;;Sustainability Report;;
77;ichor holdings_2021_report;https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/i/NASDAQ_ICHR_2021.pdf;ESG Report;;Sustainability Report;;
78;idorsia_2021_report;https://www.idorsia.com/dam/jcr:b908574d-8dc2-4ba8-be7a-aca5e9deb0a9/2021_idorsia-annual-report-business.pdf;Annual Report;Annual Report;;;
79;ifast corporation_2021_report;https://www.ifastcorp.com/ifastcorp/articleFiles/webarticles/14645/SG/iFAST Corp_Annual Report 2021_20220401.pdf;Annual Report;Annual Report;;;
80;inchcape plc_2022_report;https://www.inchcape.com/wp-content/uploads/2023/04/Annual-Report-and-Accounts-2022-1.pdf;Annual Report;Annual Report;;;
81;independence realty inc_2017_report;https://kilroyrealty.com/wp-content/uploads/2021/05/kilroy-realty-corporation-sustainability-report-2017.pdf;Sustainability Report;;Sustainability Report;;
82;independence realty inc_2018_report;https://kilroyrealty.com/wp-content/uploads/2021/05/kilroy-realty-corporation-sustainability-report-2018.pdf;Sustainability Report;;Sustainability Report;;
83;innospec inc_2020_report;https://innospecsustainability.com/wp-content/uploads/2024/01/innospec-2020-SD-Report.pdf;Annual and ESG Report;Annual Report;Sustainability Report;;
84;instone real estate group_2019_report;https://ir.de.instone.de/websites/instonereal/English/3200/financial-reports.html;Annual Report;Annual Report;;only download option;https://ir-api.eqs.com/media/document/63fe70fc-5b5b-42cf-b565-6e156c9e9bd9/assets/Instone_Konzernabschluss_2019_EN.pdf
85;japan steel works ltd_2017_report;https://www.nipponsteel.com/common/secure/en/csr/report/nssmc/pdf/report2017_all.pdf;Sustainability Report;;Sustainability Report;;
86;jenoptik_2022_report;https://www.jenoptik.com/investors/annual-report-2022#:~:text=Fiscal%20year%202022%20in%20brief%3A&text=Revenue%20in%20the%20continuing%20operations,financial%20and%20balance%20sheet%20ratios.;Annual Report;Annual Report;;only download option;https://www.jenoptik.com/-/media/websitedocuments/ir/berichte-und-tabellen/2022/online-gb/jenoptik-annual-report-2022.pdf
87;jet2 plc_2020_report;https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwjD8rOv4LqIAxXmhf0HHRmcC_sQFnoECBYQAQ&url=https%3A%2F%2Fwww.jet2plc.com%2F-%2Fmedia%2FJet2%2FFlights%2Fpdf%2FJet2_PLC%2FDart%2520Group%2520plc%2520Notice%2520of%2520Annual%2520General%2520Meeting%25202020&usg=AOvVaw2kRmnTjEYmvC1PCuO3KM3X&opi=89978449;Annual Report;Annual Report;;;
88;jetblue airways corp_2019_report;https://www.jetblue.com/magnoliaauthor/dam/ui-assets/p/JetBlue-Sustainability-2019-Annual-Report.pdf;Sustainability Report;;Sustainability Report;;
89;kanto denka kogyo ltd_2020_report;https://www.kantodenka.co.jp/english/sustainability/pdf/rc_report_2020e.pdf;Safety, Environmental and Social Report;;Sustainability Report;;
90;kb home_2019_report;https://s201.q4cdn.com/124745054/files/doc_downloads/sustainability_reports/v2/2019-KB-Sustainability-Report_V19-Single.pdf;Sustainability Report;;Sustainability Report;;
91;kitz corp_2019_report;https://www.kitz.com/english/about/pdf/corporate_report_2019_e_05.pdf;ESG Report;;Sustainability Report;;
92;knowit_2021_report;https://www.knowit.eu/globalassets/investor-relations/reports/english/2021/presentation-year-end-report-knowit-2021.pdf?_gl=1*6zys51*_up*MQ..*_ga*Nzg4NjA0NTg0LjE3MjYwNTA3MDM.*_ga_FSZZKDJR4H*MTcyNjA1MDcwMi4xLjAuMTcyNjA1MDcwMi4wLjAuMA..;Annual Report;Annual Report;;;
93;komeri ltd_2020_report;https://www.komeri.bit.or.jp/en/financial/2020/FY2020_Financial_Report.pdf;Annual Report;Annual Report;;;
94;kontron ag_2018_report;https://www.boersengefluester.de/wp-content/uploads/assets/annuals/2018/A0X9EJ.pdf;Annual Report;Annual Report;;;
95;krones ag_2017_report;https://www.krones.cn/media/downloads/GB_2017_Konzern_e.pdf;Annual Report;Annual Report;;;
96;krones ag_2018_report;https://www.krones.com/media/downloads/GB_2018_Konzern_e.pdf;Annual Report;Annual Report;;;
97;kureha corp_2020_report;https://www.kureha.co.jp/en/sustainability/report/pdf/CSR report 2020_e.pdf;Corporate Responsibility Report;;Sustainability Report;;
98;lar espana real estate sa_2022_report;https://www.larespana.com/wp-content/uploads/2018/09/FY-2022-Results-Report.pdf;Annual Report;Annual Report;;;
99;lintec cor_2020_report;https://www.lintec-global.com/ir/library/annual/pdf/Integrated_Report_2020_all.pdf;Integrated Report;Annual Report;;;
100;loomis_2018_report;https://www.loomis-international.com/images/loomis/pdf/Annual_Report_and_Sustainability_Report_2018.pdf;Annual and Sustainability Report;Annual Report;Sustainability Report;;
101;Lufthansa_2020_report;https://www.lufthansagroup.com/media/downloads/en/responsibility/LH-TCFD-Report-2020.pdf;Sustainability Report;;Sustainability Report;;
102;lundin gold inc_2021_report;https://lundingold.com/site/assets/files/110808/2021_lug_sustainability_report.pdf;Sustainability Report;;Sustainability Report;;
103;lundin gold inc_2022_report;https://static1.squarespace.com/static/54d667e5e4b05b179814c788/t/6598784c66d0575f3f694d4c/1704491097226/LUNDIN+GOLD+SR+2022.pdf;Sustainability Report;;Sustainability Report;;
104;manitou bf sa_2018_report;https://www.manitou-group.com/wp-content/uploads/2019/06/AnnualReport_2018_EN_BD.pdf;Annual Report;Annual Report;;;
105;matson inc_2020_report;https://www.matson.com/others/Matson_2020_Sustainability_Report_Supplement.pdf;Sustainability Report;;Sustainability Report;;
106;merit medical systems inc_2019_report;https://www.merit.com/wp-content/uploads/2020/03/2019-Merit-SustainabilityReport.pdf;Sustainability Report;;Sustainability Report;;
107;metro ag_2022_report;https://corpo.metro.ca/userfiles/file/PDF/2022-cr-report.pdf;Corporate Responsibility Report;;Sustainability Report;;
108;mfa financial inc_2021_report;https://mfa.bc.ca/sites/default/files/Investors/Annual Report/2021_mfa_annual_report.pdf;Annual Report;Annual Report;;;
109;monadelphous group_2022_report;https://monadelphous.com.au/media/5840751/221017-2022-annual-report.pdf;Annual Report;Annual Report;;;
110;morinaga ltd_2020_report;https://www.morinaga.co.jp/company/english/sustainability/reports/pdf/csr2020/csr2020_all.pdf;Corporate Responsibility Report;;Sustainability Report;;
111;munters group_2021_report;https://www.munters.com/globalassets/ir/financial-reports/2021/annual-and-sustainability-report/munters_annual--sustainability-report_2021.pdf;Annual and Sustainability Report;Annual Report;Sustainability Report;;
112;musashi seimitsu industry ltd_2019_report;https://www.musashi.co.jp/assets/pdf/2019_Musashi_Sustainability_Report_ENG.pdf;Sustainability Report;;Sustainability Report;;
113;musashi seimitsu industry ltd_2022_report;https://www.musashi.co.jp/assets/pdf/2022_Musashi_Integrated_Report_ENG.pdf;Integrated Report;Annual Report;;;
114;new gold inc_2019_report;https://sustainability.newgold.com/wp-content/uploads/2021/05/2019-Annual-Compliance-Report-Section-1-NG-RR-Mine-Update.pdf;other;;;;
115;nippn corp_2022_report;https://www.nippn.co.jp/en/ir/announcement/Integrated_Report/__icsFiles/afieldfile/2023/02/28/Integrated_Report_2022_2page_spread.pdf;Integrated Report;Annual Report;;;
116;nok cash_2021_report;https://www.nok.co.jp/pdf/csr/report/2021/csr_report_2021_e.pdf;Corporate Responsibility Report;;Sustainability Report;;
117;okamura corp_2020_report;https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwidn4_4h7uIAxUQ9rsIHdL-CXcQFnoECBMQAQ&url=https%3A%2F%2Fwww.okamura.com%2Fen_eu%2Finvestor_relations%2Fpdf%2Fannual_reports%2Fokamura_cb2020e.pdf&usg=AOvVaw2UvT17JF0qKEGSWBt4guaD&opi=89978449;Annual Report;Annual Report;;;
118;paramount group_2020_report;https://www.paramount.com/sites/g/files/dxjhpe226/files/2021-11/ViacomCBS_ESG Report_2020-2021_vFINAL.pdf;ESG Report;;Sustainability Report;;
119;patrizia_2021_report;https://www.patrizia.ag/fileadmin/form_definitions/Our_Responsibility/ESG_Report/PATRIZIA_Sustainability_Report_2021.pdf;Sustainability Report;;Sustainability Report;;
120;penske automotive group_2022_report;https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/p/NYSE_PAG_2022.pdf;ESG Report;;Sustainability Report;;
121;perenti ltd_2022_report;https://www.perenti.com/wp-content/uploads/2022/10/Perenti-2022-Annual-Report.pdf;Annual Report;Annual Report;;;
122;polaris industries_2021_report;https://polarisequity.dk/wp-content/uploads/2022/05/Polaris-Sustainability-Report-2021.pdf;Sustainability Report;;Sustainability Report;;
123;popular inc_2020_report;https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/p/NASDAQ_BPOP_2020.pdf;Sustainability Report;;Sustainability Report;;
124;preferred bank_2017_report;https://www.nordea.com/en/doc/nordea-sustainability-report-2017-printable.pdf;Sustainability Report;;Sustainability Report;;
125;reata pharmaceuticals_2020_report;https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjP9s_QhruIAxXD9rsIHe5gNt0QFnoECBQQAQ&url=https%3A%2F%2Fstocklight.com%2Fstocks%2Fus%2Fnasdaq-tlry%2Ftilray%2Fannual-reports%2Fnasdaq-tlry-2020-10K-20830277.pdf&usg=AOvVaw1gzB933y45g8YskkTjA690&opi=89978449;Annual Report;Annual Report;;;
126;relay therapeutics inc_2022_report;https://amicusrx.com/wp-content/uploads/2022/04/2022-Amicus-Therapeutics-ESG-Report-1.pdf;ESG Report;;Sustainability Report;;
127;reply_2022_report;https://www.reply.com/contents/Half_Year_Report_2022.pdf;other;;;;
128;rexford industrial realty reit_2022_report;https://rexford-industrial.s3.amazonaws.com/jenkins/rexford-com/master/uploads/esg/Rexford_Industrial_2022_ESG_Report.pdf;ESG Report;;Sustainability Report;;
129;rinnai corp_2020_report;https://www.rinnai.co.jp/en/corp/csr/backnumber/pdf/report2020.pdf;Integrated Report;Annual Report;;;
130;rpt realty_2020_report;https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/r/NYSE_RPT_2020.pdf;Sustainability Report;;Sustainability Report;;
131;rpt realty_2021_report;https://www.responsibilityreports.com/HostedData/ResponsibilityReports/PDF/NYSE_RPT_2021.pdf;Sustainability Report;;Sustainability Report;;
132;salzgitter ag_2018_report;https://www.salzgitter-ag.com/fileadmin/reports/2018/nfr/en/downloads/szag-non-financial-report-2018.pdf;other;;;;
133;sangetsu corp_2018_report;https://www.sangetsu.co.jp/images/english/ir/library/pdf/sangetsu-report2018-en_a3.pdf;Annual Report;Annual Report;;;
134;sanmina corp_2019_report;https://s201.q4cdn.com/209924174/files/doc_financials/2019/ar/201910k.pdf;Annual Report;Annual Report;;;
135;sato holdings_2022_report;https://assets.ctfassets.net/z7ety0aygnfq/4DobjTm1iej4GSwvBdHK7K/2641bdbb533222fe3425d7df9838dd34/SATOs_Sustainability_report_2022.pdf;Sustainability Report;;Sustainability Report;;
136;schibsted_2017_report;http://hugin.info/131/R/2183298/843260.pdf;Annual Report;Annual Report;;;
137;smith (ds) plc_2021_report;https://www.dssmith.com/sustainability/reporting-hub/sustainabilityreport;Sustainability Report;;Sustainability Report;only download option;https://www.dssmith.com/globalassets/corporate/sustainability/sustainability-report-2021-databook/sr_2021_pages.pdf
138;snc lavalin inc_2019_report;https://www.atkinsrealis.com/~/media/Files/A/atkinsrealis/download-centre/en/report/sustainability-report-2019.pdf;Sustainability Report;;Sustainability Report;;
139;sps commerce inc_2020_report;https://sps.swiss/fileadmin/user_upload/redakteure/gruppe/pdf/geschaeftsberichte/en/Annual_Report_2020.pdf;Annual Report;Annual Report;;;
140;stantec inc_2019_report;https://www.stantec.com/content/dam/stantec/files/PDFAssets/2020/stn-sustainability-report-2019.pdf;Sustainability Report;;Sustainability Report;;
141;steico_2022_report;https://www.steico.com/fileadmin/user_upload/Investor_Relations/2023_Veroeffentlichungen/2023_Finanzberichte/EN_STEICO_Annual_Report_2022.pdf;Annual Report;Annual Report;;;
142;subsea sa_2018_report;https://www.subsea7.com/content/dam/subsea7-corporate2018/Results_Reports_Presentations/Report/2019/annual-report-page-assets/annual-report-2018.pdf.downloadasset.pdf;Annual Report;Annual Report;;;
143;sumitomo warehouse ltd_2021_report;https://www.sumitomocorp.com/en/jp/sustainability/communication/asset/pdf/esg-2021.pdf;ESG Report;;Sustainability Report;;
144;suntec_2017_report;https://suntecreit.listedcompany.com/misc/sr/2017/2018053103051131May2018SuntecREIT-SustainabilityReport2017.pdf;Sustainability Report;;Sustainability Report;;
145;syndax pharmaceuticals_2021_report;https://www.annualreports.com/HostedData/AnnualReportArchive/s/NASDAQ_SNDX_2021.pdf;Annual Report;Annual Report;;;
146;tanger factory outlet centers reit_2020_report;https://stocklight.com/stocks/us/nyse-skt/tanger-factory-outlet-centers/annual-reports/nyse-skt-2020-10K-20631015.pdf;Annual Report;Annual Report;;;
147;the simply good foods company_2018_report;https://www.kfw.de/PDF/Download-Center/Konzernthemen/Nachhaltigkeit/englisch/Nachhaltigkeitsbericht-2018_-EN.pdf;other;;;;
148;tkh group_2018_report;https://www.tkhgroup.com/media/documents/TKH.2018.AnnualReport_SIZBVcm.pdf;Annual Report;Annual Report;;;
149;tokyu reit_2018_report;https://www.tokyu-cnst.co.jp/en/ir/report/pdf/IR2018_EN_web.pdf;Integrated Report;Annual Report;;;
150;toshiba tec corp_2022_report;https://www.toshibatec.com/company/ir/material/pdf/integrated_report2022.pdf;Integrated Report;Annual Report;;;
151;trex inc_2019_report;https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/t/NYSE_TREX_2019.pdf;Sustainability Report;;Sustainability Report;;
152;tricon residential inc_2020_report;https://s34643.pcdn.co/wp-content/uploads/2020-%E2%80%93-Tricon-Residential-2020-ESG-Annual-Report.pdf;ESG Report;;Sustainability Report;;
153;trisura group_2022_report;https://www.trisura.com/wp-content/uploads/2023/03/TGL-2022-Annual-Report.pdf;Annual Report;Annual Report;;;
154;varta ag_2021_report;https://www.varta-ag.com/fileadmin/varta_ag/publications/Corporate_Social_Responsibility/VARTA_AG_Sustainability_Report_2021_01.pdf;Sustainability Report;;Sustainability Report;;
155;vital energy inc_2019_report;https://www.uniper.energy/sites/default/files/2022-03/uniper_sustainability_report_2019_en.pdf;Sustainability Report;;Sustainability Report;file_name company not equal to url company due to inequality in the original sample;
156;webuild_2019_report;https://media.webuildgroup.com/sites/default/files/2023-05/eng-annual-report-2019-dnf-def_1.pdf;other;;;;
157;western union_2019_report;https://corporate.westernunion.com/wp-content/uploads/2021/06/2019-Western-Union-ESG-Report.pdf;ESG Report;;Sustainability Report;;
158;xvivo perfusion_2020_report;https://storage.mfn.se/3eeec93e-d327-45b7-9fe4-aa800a7c18a4/xvivo-perfusion-ab-publ-annual-report-2020.pdf;Annual Report;Annual Report;;;
